pose,Angulo,Desviacion_estandar,Parte
1,177.5633517531894,2.81401378313312,right_hit_angles
1,166.6620841001598,4.295675929012693,right_knee_angles
1,168.01192575216322,5.676445571369238,left_knee_angles
2,176.3013717293892,1.796744047398635,right_hit_angles
2,90.79357322394608,3.447666785009575,right_knee_angles
2,78.34765068269188,3.4333088515769936,left_knee_angles
3,177.5633517531894,2.81401378313312,right_hit_angles
3,166.6620841001598,4.295675929012693,right_knee_angles
3,168.01192575216322,5.676445571369238,left_knee_angles
4,93.65428136883136,2.741757016399798,right_hit_angles
4,72.96023130409534,2.2187733982324613,right_knee_angles
4,93.866142042568,1.672419213012327,left_knee_angles
5,177.5633517531894,2.81401378313312,right_hit_angles
5,166.6620841001598,4.295675929012693,right_knee_angles
5,168.01192575216322,5.676445571369238,left_knee_angles
