pose,Angulo,Desviacion_estandar,Parte
1,81.37661071211846,8.039906964895634,right_shoulder_angles
1,100.4258085258848,5.109076413380175,right_hit_angles
1,68.54077000811809,10.837080655189819,right_knee_angles
1,62.95901724636038,9.161132139134734,left_knee_angles
1,165.43393488975138,4.4634762246422275,right_elbow_angles
1,165.43393488975138,4.4634762246422275,left_elbow_angles
2,135.4834972108903,16.32092582919416,right_shoulder_angles
2,96.951405353942,7.344279275007392,right_hit_angles
2,66.58154955430477,9.409855792640721,right_knee_angles
2,167.25194930666157,4.005787370886687,left_knee_angles
2,157.0564335270394,15.043316161425912,right_elbow_angles
2,157.0564335270394,15.043316161425912,left_elbow_angles
3,81.37661071211846,8.039906964895634,right_shoulder_angles
3,100.4258085258848,5.109076413380175,right_hit_angles
3,68.54077000811809,10.837080655189819,right_knee_angles
3,62.95901724636038,9.161132139134734,left_knee_angles
3,165.43393488975138,4.4634762246422275,right_elbow_angles
3,165.43393488975138,4.4634762246422275,left_elbow_angles
4,90.89318032818798,6.893652987400739,right_shoulder_angles
4,171.89295867568413,1.891869003283777,right_hit_angles
4,165.92119679462596,9.088613087899079,right_knee_angles
4,66.0160114907278,2.0167366710391725,left_knee_angles
4,166.31410265179332,2.054420376596211,right_elbow_angles
4,166.31410265179332,2.054420376596211,left_elbow_angles
5,81.37661071211846,8.039906964895634,right_shoulder_angles
5,100.4258085258848,5.109076413380175,right_hit_angles
5,68.54077000811809,10.837080655189819,right_knee_angles
5,62.95901724636038,9.161132139134734,left_knee_angles
5,165.43393488975138,4.4634762246422275,right_elbow_angles
5,165.43393488975138,4.4634762246422275,left_elbow_angles
