Pose,Costo_alineamiento,Desviacion_estandar
1,10.499090490717208,1.9971236058226476
2,19.549288872629404,1.8036813860571492
3,10.499090490717208,1.9971236058226476
4,13.917944960296154,3.3506443006548605
5,10.499090490717208,1.9971236058226476
