pose,Angulo,Desviacion_estandar,Parte
1,60.7996817634744,4.704456389468744,right_shoulder_angles
1,160.55985660424545,2.6772497959154595,right_hit_angles
1,149.40361843827046,5.189504100093969,right_ankle_angles
2,85.67249897393987,9.014779734815866,right_shoulder_angles
2,170.44163610592315,6.601636363207918,right_hit_angles
2,90.4898610730839,6.679469472085923,right_ankle_angles
3,60.7996817634744,4.704456389468744,right_shoulder_angles
3,160.55985660424545,2.6772497959154595,right_hit_angles
3,149.40361843827046,5.189504100093969,right_ankle_angles
